attribute,companies_total,companies_repeated,repeated_with_one_distinct_value,repeated_with_multiple_distinct_values,repeated_with_no_observed_value,pct_stable_among_repeated,pct_stable_among_repeated_with_value,max_distinct_values_one_company,max_distinct_among_repeated,companies_with_no_observed_value,mean_distinct_among_repeated,attribute_distinct_values_dataset,attribute_missing_rows
company_size,535938,63946,9782,54164,0,15.297282081756482,15.297282081756482,4,4,0,2.327025928126857,4,0
company_age,535938,63946,1531,62411,4,2.394207612673193,2.394357386381408,39,39,4792,4.9852531823726265,39,10000
linkedin_presence,535938,63946,32453,31493,0,50.75063334688644,50.75063334688644,2,2,0,1.4924936665311357,2,0
website_available,535938,63946,36943,27003,0,57.77218277921997,57.77218277921997,2,2,0,1.4222781722078004,2,0
domain_age_months,535938,63946,75,63871,0,0.11728646045100553,0.11728646045100553,451,451,0,7.478122165577206,500,0
verification_status,535938,63946,25362,38584,0,39.661589466112034,39.661589466112034,2,2,0,1.6033841053388798,2,0
social_media_presence,535938,63946,28599,35347,0,44.72367309917743,44.72367309917743,2,2,0,1.5527632690082256,2,0
location,535938,63946,3927,60019,0,6.14111906921465,6.14111906921465,9,9,0,3.2060488537203264,9,0
industry,535938,63946,3812,60134,0,5.961279829856442,5.961279829856442,9,9,0,3.2099427642073,9,0
